DATETIME,PRICE
2018-01-02,238.81527709960938
2018-01-03,240.1995391845703
2018-01-04,241.24002075195312
2018-01-05,242.7653350830078
2018-01-08,243.3032684326172
2018-01-09,243.8587188720703
2018-01-10,243.47071838378906
2018-01-11,245.19895935058594
2018-01-12,246.8037109375
2018-01-16,245.91314697265625
2018-01-17,248.3643035888672
2018-01-18,247.99400329589844
2018-01-19,249.07847595214844
2018-01-22,251.05364990234375
2018-01-23,251.63552856445312
2018-01-24,251.5032196044922
2018-01-25,251.60031127929688
2018-01-26,254.5187530517578
2018-01-29,252.8347625732422
2018-01-30,250.1013641357422
2018-01-31,250.54222106933594
2018-02-01,250.2247772216797
2018-02-02,244.70510864257812
2018-02-05,234.58294677734375
2018-02-06,239.17678833007812
2018-02-07,237.7042694091797
2018-02-08,228.91348266601562
2018-02-09,232.4844512939453
2018-02-12,235.57933044433594
2018-02-13,236.26705932617188
2018-02-14,239.52052307128906
2018-02-15,242.49203491210938
2018-02-16,242.55377197265625
2018-02-20,241.0724639892578
2018-02-21,239.8291778564453
2018-02-22,240.15548706054688
2018-02-23,243.9908447265625
2018-02-26,246.84776306152344
2018-02-27,243.77944946289062
2018-02-28,241.0107421875
2018-03-01,237.80123901367188
2018-03-02,239.12387084960938
2018-03-05,241.76898193359375
2018-03-06,242.43028259277344
2018-03-07,242.34213256835938
2018-03-08,243.47071838378906
2018-03-09,247.60598754882812
2018-03-12,247.4032440185547
2018-03-13,245.7984619140625
2018-03-14,244.53770446777344
2018-03-15,244.28196716308594
2018-03-16,244.50241088867188
2018-03-19,241.22238159179688
2018-03-20,241.64559936523438
2018-03-21,241.2047119140625
2018-03-22,235.1279296875
2018-03-23,230.13250732421875
2018-03-26,236.48301696777344
2018-03-27,232.3379364013672
2018-03-28,231.71792602539062
2018-03-29,235.0393524169922
2018-04-02,229.58340454101562
2018-04-03,232.5682373046875
2018-04-04,235.26962280273438
2018-04-05,236.90814208984375
2018-04-06,231.67364501953125
2018-04-09,232.67449951171875
2018-04-10,236.45645141601562
2018-04-11,235.17221069335938
2018-04-12,237.18275451660156
2018-04-13,236.45645141601562
2018-04-16,238.4227294921875
2018-04-17,240.97354125976562
2018-04-18,241.07984924316406
2018-04-19,239.77786254882812
2018-04-20,237.7584228515625
2018-04-23,237.7584228515625
2018-04-24,234.61424255371094
2018-04-25,235.08364868164062
2018-04-26,237.50161743164062
2018-04-27,237.71414184570312
2018-04-30,235.87191772460938
2018-05-01,236.3324737548828
2018-05-02,234.68505859375
2018-05-03,234.18016052246094
2018-05-04,237.20932006835938
2018-05-07,238.06842041015625
2018-05-08,237.97103881835938
2018-05-09,240.41554260253906
2018-05-10,242.5943603515625
2018-05-11,243.09930419921875
2018-05-14,243.40927124023438
2018-05-15,241.62890625
2018-05-16,242.7716064453125
2018-05-17,242.57666015625
2018-05-18,241.9832763671875
2018-05-21,243.75473022460938
2018-05-22,243.09930419921875
2018-05-23,243.79005432128906
2018-05-24,243.34725952148438
2018-05-25,242.66519165039062
2018-05-29,239.96385192871094
2018-05-30,243.1700439453125
2018-05-31,241.55812072753906
2018-06-01,244.03805541992188
2018-06-04,245.1718292236328
2018-06-05,245.39324951171875
2018-06-06,247.50120544433594
2018-06-07,247.34176635742188
2018-06-08,248.03262329101562
2018-06-11,248.4488525390625
2018-06-12,248.78541564941406
2018-06-13,247.92637634277344
2018-06-14,248.62600708007812
2018-06-15,248.27169799804688
2018-06-18,247.73141479492188
2018-06-19,246.81918334960938
2018-06-20,247.33285522460938
2018-06-21,245.6234893798828
2018-06-22,246.12843322753906
2018-06-25,242.7716064453125
2018-06-26,243.3507843017578
2018-06-27,241.25961303710938
2018-06-28,242.77239990234375
2018-06-29,242.9771270751953
2018-07-02,243.66232299804688
2018-07-03,242.69227600097656
2018-07-05,244.7745819091797
2018-07-06,246.678955078125
2018-07-09,248.9925537109375
2018-07-10,249.90029907226562
2018-07-11,248.04046630859375
2018-07-12,250.17601013183594
2018-07-13,250.43417358398438
2018-07-16,250.34515380859375
2018-07-17,251.35960388183594
2018-07-18,251.9113311767578
2018-07-19,250.87017822265625
2018-07-20,250.60316467285156
2018-07-23,251.06597900390625
2018-07-24,252.3206329345703
2018-07-25,254.66094970703125
2018-07-26,253.780029296875
2018-07-27,252.15159606933594
2018-07-30,250.7366485595703
2018-07-31,252.08029174804688
2018-08-01,251.72439575195312
2018-08-02,252.92587280273438
2018-08-03,254.10037231445312
2018-08-06,255.07920837402344
2018-08-07,255.80894470214844
2018-08-08,255.7198944091797
2018-08-09,255.48849487304688
2018-08-10,253.6732635498047
2018-08-13,252.8189697265625
2018-08-14,254.43856811523438
2018-08-15,252.40969848632812
2018-08-16,254.58984375
2018-08-17,255.42630004882812
2018-08-20,256.0491638183594
2018-08-21,256.4852600097656
2018-08-22,256.476318359375
2018-08-23,256.0402526855469
2018-08-24,257.6332092285156
2018-08-27,259.6709289550781
2018-08-28,259.7421569824219
2018-08-29,261.2104187011719
2018-08-30,260.0980224609375
2018-08-31,260.23150634765625
2018-09-04,259.7955627441406
2018-09-05,259.0924987792969
2018-09-06,258.3360900878906
2018-09-07,257.704345703125
2018-09-10,258.2826843261719
2018-09-11,259.1459655761719
2018-09-12,259.1636657714844
2018-09-13,260.65863037109375
2018-09-14,260.64971923828125
2018-09-17,259.3416748046875
2018-09-18,260.7921142578125
2018-09-19,260.9790954589844
2018-09-20,263.18585205078125
2018-09-21,262.8299255371094
2018-09-24,262.0379333496094
2018-09-25,261.7621765136719
2018-09-26,260.9907531738281
2018-09-27,261.70574951171875
2018-09-28,261.6253967285156
2018-10-01,262.644287109375
2018-10-02,262.53692626953125
2018-10-03,262.7156982421875
2018-10-04,260.7405090332031
2018-10-05,259.1228332519531
2018-10-08,259.1317443847656
2018-10-09,258.8189697265625
2018-10-10,250.4714813232422
2018-10-11,245.1804656982422
2018-10-12,248.4873046875
2018-10-15,247.146728515625
2018-10-16,252.58963012695312
