DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-02 23:00:00,299.9971008300781,20991200,299.9971008300781,20991200,299.9971008300781,20991200
2020-01-03 23:00:00,297.68963623046875,20991200,297.68963623046875,20991200,297.68963623046875,20991200
2020-01-06 23:00:00,298.8662414550781,20991200,298.8662414550781,20991200,298.8662414550781,20991200
2020-01-07 23:00:00,298.04815673828125,20991200,298.04815673828125,20991200,298.04815673828125,20991200
2020-01-08 23:00:00,299.56494140625,20991200,299.56494140625,20991200,299.56494140625,20991200
2020-01-09 23:00:00,301.5875244140625,20991200,301.5875244140625,20991200,301.5875244140625,20991200
2020-01-10 23:00:00,300.7509460449219,20991200,300.7509460449219,20991200,300.7509460449219,20991200
2020-01-13 23:00:00,302.85626220703125,20991200,302.85626220703125,20991200,302.85626220703125,20991200
2020-01-14 23:00:00,302.3873596191406,20991200,302.3873596191406,20991200,302.3873596191406,20991200
2020-01-15 23:00:00,303.0676574707031,20991200,303.0676574707031,20991200,303.0676574707031,20991200
2020-01-16 23:00:00,305.5867004394531,20991200,305.5867004394531,20991200,305.5867004394531,20991200
2020-01-17 23:00:00,306.597900390625,20991200,306.597900390625,20991200,306.597900390625,20991200
2020-01-21 23:00:00,305.9359436035156,20991200,305.9359436035156,20991200,305.9359436035156,20991200
2020-01-22 23:00:00,306.0003967285156,20991200,306.0003967285156,20991200,306.0003967285156,20991200
2020-01-23 23:00:00,306.3773193359375,20991200,306.3773193359375,20991200,306.3773193359375,20991200
2020-01-24 23:00:00,303.5916748046875,20991200,303.5916748046875,20991200,303.5916748046875,20991200
2020-01-27 23:00:00,298.6640625,20991200,298.6640625,20991200,298.6640625,20991200
2020-01-28 23:00:00,301.844970703125,20991200,301.844970703125,20991200,301.844970703125,20991200
2020-01-29 23:00:00,301.63348388671875,20991200,301.63348388671875,20991200,301.63348388671875,20991200
2020-01-30 23:00:00,302.54364013671875,20991200,302.54364013671875,20991200,302.54364013671875,20991200
2020-01-31 23:00:00,297.16552734375,20991200,297.16552734375,20991200,297.16552734375,20991200
2020-02-03 23:00:00,299.2983703613281,20991200,299.2983703613281,20991200,299.2983703613281,20991200
2020-02-04 23:00:00,303.9410095214844,20991200,303.9410095214844,20991200,303.9410095214844,20991200
2020-02-05 23:00:00,307.32427978515625,20991200,307.32427978515625,20991200,307.32427978515625,20991200
2020-02-06 23:00:00,308.5009460449219,20991200,308.5009460449219,20991200,308.5009460449219,20991200
2020-02-07 23:00:00,306.82769775390625,20991200,306.82769775390625,20991200,306.82769775390625,20991200
2020-02-10 23:00:00,309.09844970703125,20991200,309.09844970703125,20991200,309.09844970703125,20991200
2020-02-11 23:00:00,309.6684875488281,20991200,309.6684875488281,20991200,309.6684875488281,20991200
2020-02-12 23:00:00,311.65423583984375,20991200,311.65423583984375,20991200,311.65423583984375,20991200
2020-02-13 23:00:00,311.2680969238281,20991200,311.2680969238281,20991200,311.2680969238281,20991200
2020-02-14 23:00:00,311.7185974121094,20991200,311.7185974121094,20991200,311.7185974121094,20991200
2020-02-18 23:00:00,310.9739685058594,20991200,310.9739685058594,20991200,310.9739685058594,20991200
2020-02-19 23:00:00,312.4632568359375,20991200,312.4632568359375,20991200,312.4632568359375,20991200
2020-02-20 23:00:00,311.18536376953125,20991200,311.18536376953125,20991200,311.18536376953125,20991200
2020-02-21 23:00:00,307.9860534667969,20991200,307.9860534667969,20991200,307.9860534667969,20991200
2020-02-24 23:00:00,297.7078857421875,20991200,297.7078857421875,20991200,297.7078857421875,20991200
2020-02-25 23:00:00,288.78125,20991200,288.78125,20991200,288.78125,20991200
2020-02-26 23:00:00,287.66876220703125,20991200,287.66876220703125,20991200,287.66876220703125,20991200
2020-02-27 23:00:00,274.6142883300781,20991200,274.6142883300781,20991200,274.6142883300781,20991200
2020-02-28 23:00:00,272.0401611328125,20991200,272.0401611328125,20991200,272.0401611328125,20991200
2020-03-02 23:00:00,285.3612976074219,20991200,285.3612976074219,20991200,285.3612976074219,20991200
2020-03-03 23:00:00,277.1791687011719,20991200,277.1791687011719,20991200,277.1791687011719,20991200
2020-03-04 23:00:00,289.3603515625,20991200,289.3603515625,20991200,289.3603515625,20991200
2020-03-05 23:00:00,279.2569580078125,20991200,279.2569580078125,20991200,279.2569580078125,20991200
2020-03-06 23:00:00,274.6051025390625,20991200,274.6051025390625,20991200,274.6051025390625,20991200
2020-03-09 23:00:00,252.63299560546875,20991200,252.63299560546875,20991200,252.63299560546875,20991200
2020-03-10 23:00:00,266.1931457519531,20991200,266.1931457519531,20991200,266.1931457519531,20991200
2020-03-11 23:00:00,253.2489471435547,20991200,253.2489471435547,20991200,253.2489471435547,20991200
2020-03-12 23:00:00,228.8773956298828,20991200,228.8773956298828,20991200,228.8773956298828,20991200
2020-03-13 23:00:00,249.6451873779297,20991200,249.6451873779297,20991200,249.6451873779297,20991200
2020-03-16 23:00:00,220.75051879882812,20991200,220.75051879882812,20991200,220.75051879882812,20991200
2020-03-17 23:00:00,234.78872680664062,20991200,234.78872680664062,20991200,234.78872680664062,20991200
2020-03-18 23:00:00,221.71578979492188,20991200,221.71578979492188,20991200,221.71578979492188,20991200
2020-03-19 23:00:00,222.5339813232422,20991200,222.5339813232422,20991200,222.5339813232422,20991200
2020-03-20 23:00:00,212.51324462890625,20991200,212.51324462890625,20991200,212.51324462890625,20991200
2020-03-23 23:00:00,206.5283966064453,20991200,206.5283966064453,20991200,206.5283966064453,20991200
2020-03-24 23:00:00,226.0458526611328,20991200,226.0458526611328,20991200,226.0458526611328,20991200
2020-03-25 23:00:00,228.9330291748047,20991200,228.9330291748047,20991200,228.9330291748047,20991200
2020-03-26 23:00:00,242.7169647216797,20991200,242.7169647216797,20991200,242.7169647216797,20991200
2020-03-27 23:00:00,235.1959686279297,20991200,235.1959686279297,20991200,235.1959686279297,20991200
2020-03-30 23:00:00,242.7077178955078,20991200,242.7077178955078,20991200,242.7077178955078,20991200
2020-03-31 23:00:00,239.0443115234375,20991200,239.0443115234375,20991200,239.0443115234375,20991200
2020-04-01 23:00:00,228.3132781982422,20991200,228.3132781982422,20991200,228.3132781982422,20991200
2020-04-02 23:00:00,233.66954040527344,20991200,233.66954040527344,20991200,233.66954040527344,20991200
2020-04-03 23:00:00,230.36697387695312,20991200,230.36697387695312,20991200,230.36697387695312,20991200
2020-04-06 23:00:00,245.89004516601562,20991200,245.89004516601562,20991200,245.89004516601562,20991200
2020-04-07 23:00:00,245.9918670654297,20991200,245.9918670654297,20991200,245.9918670654297,20991200
2020-04-08 23:00:00,254.40089416503906,20991200,254.40089416503906,20991200,254.40089416503906,20991200
2020-04-09 23:00:00,258.21234130859375,20991200,258.21234130859375,20991200,258.21234130859375,20991200
2020-04-13 23:00:00,255.73304748535156,20991200,255.73304748535156,20991200,255.73304748535156,20991200
2020-04-14 23:00:00,263.4945983886719,20991200,263.4945983886719,20991200,263.4945983886719,20991200
2020-04-15 23:00:00,257.7034606933594,20991200,257.7034606933594,20991200,257.7034606933594,20991200
2020-04-16 23:00:00,259.0726318359375,20991200,259.0726318359375,20991200,259.0726318359375,20991200
2020-04-17 23:00:00,266.03863525390625,20991200,266.03863525390625,20991200,266.03863525390625,20991200
2020-04-20 23:00:00,261.3021240234375,20991200,261.3021240234375,20991200,261.3021240234375,20991200
2020-04-21 23:00:00,253.34629821777344,20991200,253.34629821777344,20991200,253.34629821777344,20991200
2020-04-22 23:00:00,259.0819091796875,20991200,259.0819091796875,20991200,259.0819091796875,20991200
2020-04-23 23:00:00,259.0079040527344,20991200,259.0079040527344,20991200,259.0079040527344,20991200
2020-04-24 23:00:00,262.6342468261719,20991200,262.6342468261719,20991200,262.6342468261719,20991200
2020-04-27 23:00:00,266.6028747558594,20991200,266.6028747558594,20991200,266.6028747558594,20991200
2020-04-28 23:00:00,265.1689758300781,20991200,265.1689758300781,20991200,265.1689758300781,20991200
2020-04-29 23:00:00,272.0980224609375,20991200,272.0980224609375,20991200,272.0980224609375,20991200
2020-04-30 23:00:00,269.3504638671875,20991200,269.3504638671875,20991200,269.3504638671875,20991200
2020-05-01 23:00:00,262.2919006347656,20991200,262.2919006347656,20991200,262.2919006347656,20991200
2020-05-04 23:00:00,263.3095397949219,20991200,263.3095397949219,20991200,263.3095397949219,20991200
2020-05-05 23:00:00,265.631591796875,20991200,265.631591796875,20991200,265.631591796875,20991200
2020-05-06 23:00:00,263.883056640625,20991200,263.883056640625,20991200,263.883056640625,20991200
2020-05-07 23:00:00,267.0099792480469,20991200,267.0099792480469,20991200,267.0099792480469,20991200
2020-05-08 23:00:00,271.4781494140625,20991200,271.4781494140625,20991200,271.4781494140625,20991200
2020-05-11 23:00:00,271.4688720703125,20991200,271.4688720703125,20991200,271.4688720703125,20991200
2020-05-12 23:00:00,265.9368896484375,20991200,265.9368896484375,20991200,265.9368896484375,20991200
2020-05-13 23:00:00,261.3761291503906,20991200,261.3761291503906,20991200,261.3761291503906,20991200
2020-05-14 23:00:00,264.50299072265625,20991200,264.50299072265625,20991200,264.50299072265625,20991200
2020-05-15 23:00:00,265.65008544921875,20991200,265.65008544921875,20991200,265.65008544921875,20991200
2020-05-18 23:00:00,273.8649597167969,20991200,273.8649597167969,20991200,273.8649597167969,20991200
2020-05-19 23:00:00,271.0433654785156,20991200,271.0433654785156,20991200,271.0433654785156,20991200
2020-05-20 23:00:00,275.6688537597656,20991200,275.6688537597656,20991200,275.6688537597656,20991200
2020-05-21 23:00:00,273.6520690917969,20991200,273.6520690917969,20991200,273.6520690917969,20991200
2020-05-22 23:00:00,274.20721435546875,20991200,274.20721435546875,20991200,274.20721435546875,20991200
2020-05-26 23:00:00,277.6855773925781,20991200,277.6855773925781,20991200,277.6855773925781,20991200
2020-05-27 23:00:00,281.7374267578125,20991200,281.7374267578125,20991200,281.7374267578125,20991200
2020-05-28 23:00:00,281.1824035644531,20991200,281.1824035644531,20991200,281.1824035644531,20991200
2020-05-29 23:00:00,282.32025146484375,20991200,282.32025146484375,20991200,282.32025146484375,20991200
2020-06-01 23:00:00,283.70782470703125,20991200,283.70782470703125,20991200,283.70782470703125,20991200
2020-06-02 23:00:00,286.0668640136719,20991200,286.0668640136719,20991200,286.0668640136719,20991200
2020-06-03 23:00:00,289.915283203125,20991200,289.915283203125,20991200,289.915283203125,20991200
2020-06-04 23:00:00,288.94390869140625,20991200,288.94390869140625,20991200,288.94390869140625,20991200
2020-06-05 23:00:00,296.4742736816406,20991200,296.4742736816406,20991200,296.4742736816406,20991200
2020-06-08 23:00:00,300.1006164550781,20991200,300.1006164550781,20991200,300.1006164550781,20991200
2020-06-09 23:00:00,297.88958740234375,20991200,297.88958740234375,20991200,297.88958740234375,20991200
2020-06-10 23:00:00,296.1319580078125,20991200,296.1319580078125,20991200,296.1319580078125,20991200
2020-06-11 23:00:00,278.9991149902344,20991200,278.9991149902344,20991200,278.9991149902344,20991200
2020-06-12 23:00:00,282.4868469238281,20991200,282.4868469238281,20991200,282.4868469238281,20991200
2020-06-15 23:00:00,285.0793762207031,20991200,285.0793762207031,20991200,285.0793762207031,20991200
2020-06-16 23:00:00,290.5600891113281,20991200,290.5600891113281,20991200,290.5600891113281,20991200
2020-06-17 23:00:00,289.25030517578125,20991200,289.25030517578125,20991200,289.25030517578125,20991200
2020-06-18 23:00:00,289.4732971191406,20991200,289.4732971191406,20991200,289.4732971191406,20991200
2020-06-19 23:00:00,287.70831298828125,20991200,287.70831298828125,20991200,287.70831298828125,20991200
2020-06-22 23:00:00,289.7705078125,20991200,289.7705078125,20991200,289.7705078125,20991200
2020-06-23 23:00:00,290.9502258300781,20991200,290.9502258300781,20991200,290.9502258300781,20991200
2020-06-24 23:00:00,283.6024475097656,20991200,283.6024475097656,20991200,283.6024475097656,20991200
2020-06-25 23:00:00,286.5749816894531,20991200,286.5749816894531,20991200,286.5749816894531,20991200
2020-06-26 23:00:00,279.7380065917969,20991200,279.7380065917969,20991200,279.7380065917969,20991200
2020-06-29 23:00:00,283.9368896484375,20991200,283.9368896484375,20991200,283.9368896484375,20991200
2020-06-30 23:00:00,287.6804504394531,20991200,287.6804504394531,20991200,287.6804504394531,20991200
2020-07-01 23:00:00,289.6497497558594,20991200,289.6497497558594,20991200,289.6497497558594,20991200
2020-07-02 23:00:00,291.1731872558594,20991200,291.1731872558594,20991200,291.1731872558594,20991200
