DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-02 23:00:00,51.55576705932617,20991200,51.55576705932617,20991200,51.55576705932617,20991200
2020-01-03 23:00:00,51.73295211791992,20991200,51.73295211791992,20991200,51.73295211791992,20991200
2020-01-06 23:00:00,51.910152435302734,20991200,51.910152435302734,20991200,51.910152435302734,20991200
2020-01-07 23:00:00,51.98262023925781,20991200,51.98262023925781,20991200,51.98262023925781,20991200
2020-01-08 23:00:00,51.95849609375,20991200,51.95849609375,20991200,51.95849609375,20991200
2020-01-09 23:00:00,52.03096008300781,20991200,52.03096008300781,20991200,52.03096008300781,20991200
2020-01-10 23:00:00,52.063194274902344,20991200,52.063194274902344,20991200,52.063194274902344,20991200
2020-01-13 23:00:00,52.10346221923828,20991200,52.10346221923828,20991200,52.10346221923828,20991200
2020-01-14 23:00:00,52.14372634887695,20991200,52.14372634887695,20991200,52.14372634887695,20991200
2020-01-15 23:00:00,52.15177536010742,20991200,52.15177536010742,20991200,52.15177536010742,20991200
2020-01-16 23:00:00,52.20009231567383,20991200,52.20009231567383,20991200,52.20009231567383,20991200
2020-01-17 23:00:00,52.19206237792969,20991200,52.19206237792969,20991200,52.19206237792969,20991200
2020-01-21 23:00:00,52.256473541259766,20991200,52.256473541259766,20991200,52.256473541259766,20991200
2020-01-22 23:00:00,52.27259826660156,20991200,52.27259826660156,20991200,52.27259826660156,20991200
2020-01-23 23:00:00,52.3370246887207,20991200,52.3370246887207,20991200,52.3370246887207,20991200
2020-01-24 23:00:00,52.41755676269531,20991200,52.41755676269531,20991200,52.41755676269531,20991200
2020-01-27 23:00:00,52.53032302856445,20991200,52.53032302856445,20991200,52.53032302856445,20991200
2020-01-28 23:00:00,52.562538146972656,20991200,52.562538146972656,20991200,52.562538146972656,20991200
2020-01-29 23:00:00,52.60280990600586,20991200,52.60280990600586,20991200,52.60280990600586,20991200
2020-01-30 23:00:00,52.59476089477539,20991200,52.59476089477539,20991200,52.59476089477539,20991200
2020-01-31 23:00:00,52.59476089477539,20991200,52.59476089477539,20991200,52.59476089477539,20991200
2020-02-03 23:00:00,52.70463562011719,20991200,52.70463562011719,20991200,52.70463562011719,20991200
2020-02-04 23:00:00,52.60769271850586,20991200,52.60769271850586,20991200,52.60769271850586,20991200
