DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2020-01-02 23:00:00,299.9971008300781,20991200,299.9971008300781,20991200,299.9971008300781,20991200
2020-01-03 23:00:00,297.6896057128906,20991200,297.6896057128906,20991200,297.6896057128906,20991200
2020-01-06 23:00:00,298.8663024902344,20991200,298.8663024902344,20991200,298.8663024902344,20991200
2020-01-07 23:00:00,298.0481262207031,20991200,298.0481262207031,20991200,298.0481262207031,20991200
2020-01-08 23:00:00,299.5650329589844,20991200,299.5650329589844,20991200,299.5650329589844,20991200
2020-01-09 23:00:00,301.5875244140625,20991200,301.5875244140625,20991200,301.5875244140625,20991200
2020-01-10 23:00:00,300.7509765625,20991200,300.7509765625,20991200,300.7509765625,20991200
2020-01-13 23:00:00,302.856201171875,20991200,302.856201171875,20991200,302.856201171875,20991200
2020-01-14 23:00:00,302.38739013671875,20991200,302.38739013671875,20991200,302.38739013671875,20991200
2020-01-15 23:00:00,303.0676574707031,20991200,303.0676574707031,20991200,303.0676574707031,20991200
2020-01-16 23:00:00,305.5865783691406,20991200,305.5865783691406,20991200,305.5865783691406,20991200
2020-01-17 23:00:00,306.5978698730469,20991200,306.5978698730469,20991200,306.5978698730469,20991200
2020-01-21 23:00:00,305.9360046386719,20991200,305.9360046386719,20991200,305.9360046386719,20991200
2020-01-22 23:00:00,306.0003356933594,20991200,306.0003356933594,20991200,306.0003356933594,20991200
2020-01-23 23:00:00,306.3772888183594,20991200,306.3772888183594,20991200,306.3772888183594,20991200
2020-01-24 23:00:00,303.5917053222656,20991200,303.5917053222656,20991200,303.5917053222656,20991200
2020-01-27 23:00:00,298.6640625,20991200,298.6640625,20991200,298.6640625,20991200
2020-01-28 23:00:00,301.8449401855469,20991200,301.8449401855469,20991200,301.8449401855469,20991200
2020-01-29 23:00:00,301.6334533691406,20991200,301.6334533691406,20991200,301.6334533691406,20991200
2020-01-30 23:00:00,302.5436096191406,20991200,302.5436096191406,20991200,302.5436096191406,20991200
